#NSGA2
popsize 100
maxGen 200
numVar 22
numObj 3
numCons 4
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	20.4785
firstFrontCount	5
frontCount	69
avgEvalTime	0.203051
#end
NumDecks	SLayout	Length	Width	Height	Wheelbase	Structure	NumChargers	Gangway	Pitch	SWidth	MType	DWidth	Topology	UPower	Capacity	ChaPow	PSpace	FA1	FA2	RA1	RA2	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	
2	1	10.7223	2.61182	2.63019	5.02462	2	32	0.521764	0.68977	0.448053	3	1.32251	4	123	270	243	0.220155	13.9091	18.2722	9.95749	12.1864	9e+09	9e+09	9e+09	0	0	0	0	
2	2	15.9304	2.4987	3.58438	6.10406	3	138	0.463004	0.68343	0.4105	3	1.49414	5	56	482	294	0.200226	16.7377	14.8882	9.76672	4.57889	9e+09	9e+09	9e+09	0	0	0	0	
1	3	12.8223	2.35758	4.28152	5.72113	1	103	0.458914	0.742447	0.428041	3	1.37981	5	88	382	355	0.229373	24.7504	12.5921	19.6589	18.3926	9e+09	9e+09	9e+09	0	0	0	0	
1	2	16.0986	2.21666	4.31118	6.00658	2	155	0.451678	0.762146	0.417962	4	1.48314	2	151	499	129	0.228504	16.8822	1.19925	7.36161	5.29883	174617	-19.4432	900	0	0	0	0	
1	2	17.2604	2.30577	2.35327	6.85111	1	144	0.483368	0.720888	0.413957	3	1.48063	4	99	333	182	0.181899	33.799	16.6978	18.7473	18.3491	109530	-30.2554	900	0	0	0	0	
2	2	9.60076	2.30851	3.2141	6.38931	3	134	0.486882	0.72879	0.447521	3	0.996464	3	123	394	284	0.242098	33.5079	2.7225	13.218	15.5656	9e+09	9e+09	9e+09	0	0	0	0	
2	1	13.6272	2.50945	3.68548	5.14543	2	88	0.479457	0.771071	0.410625	2	1.13299	2	116	135	124	0.204935	5.68666	12.1136	5.25412	17.4998	9e+09	9e+09	9e+09	0	0	0	0	
1	2	16.921	2.39787	2.67146	5.0783	3	11	0.542167	0.652471	0.401871	2	1.21878	3	92	72	190	0.243612	15.6837	10.5155	26.6132	12.0366	9e+09	9e+09	9e+09	0	0	0	0	
1	1	11.5614	2.37181	3.0763	6.2569	1	50	0.524925	0.807256	0.449622	2	1.22279	5	116	361	361	0.243343	25.8778	13.6734	6.05371	1.50606	580566	-28.9316	900	0	0	0	0	
1	2	14.9155	2.53573	4.34138	5.18628	2	97	0.479193	0.807735	0.40063	1	0.987901	5	82	341	59	0.217411	5.57938	14.6347	12.1126	7.53749	9e+09	9e+09	9e+09	0	0	0	0	
1	2	10.734	2.45699	3.1478	5.12817	2	147	0.516213	0.693845	0.434444	4	0.84799	4	157	376	97	0.207454	33.7406	16.4224	31.2005	14.7589	209685	-22.588	900	0	0	0	0	
2	3	10.1915	2.34866	3.86281	6.78247	2	12	0.4832	0.741461	0.418983	4	0.992288	4	131	237	84	0.246602	33.6805	14.0188	31.2893	2.55232	207969	-20.6706	900	0	0	0	0	
1	1	15.8926	2.64631	3.73212	4.961	2	70	0.519313	0.657164	0.440431	2	0.7338	4	108	278	251	0.189107	5.16109	16.655	13.9296	1.66168	9e+09	9e+09	9e+09	0	0	0	0	
1	4	17.3426	2.66351	3.51372	5.9712	2	74	0.529085	0.700794	0.441288	1	1.37744	3	144	271	121	0.19774	33.8394	10.5477	12.9724	11.8821	83152.5	-31.534	900	0	0	0	0	
1	3	14.8981	2.56312	2.71376	5.17956	1	175	0.494415	0.716064	0.407193	3	1.21323	4	147	283	151	0.218785	30.2846	2.01301	12.3619	20.7132	9e+09	9e+09	9e+09	0	0	0	0	
1	2	9.87378	2.20536	3.01588	6.88881	1	89	0.546352	0.699014	0.444875	3	1.40541	4	80	269	433	0.246754	28.7647	11.6093	19.4969	20.2927	9e+09	9e+09	9e+09	0	0	0	0	
1	4	16.8145	2.22582	3.70136	6.83036	1	16	0.47432	0.753014	0.403028	3	1.39525	4	140	81	228	0.208353	8.32695	9.4041	23.6643	18.6964	9e+09	9e+09	9e+09	0	0	0	0	
1	2	11.3449	2.3828	3.85864	5.80313	3	109	0.548278	0.705336	0.436409	3	1.06369	3	103	413	145	0.239007	32.8455	17.0237	21.8986	20.5305	243818	-13.5819	900	0	0	0	0	
2	4	10.0421	2.59879	2.90573	6.10929	3	44	0.549046	0.724666	0.445985	1	1.09592	2	83	472	154	0.197825	14.1204	12.8674	33.986	9.27795	9e+09	9e+09	9e+09	0	0	0	0	
2	2	9.42759	2.67167	2.84832	4.67317	3	173	0.492271	0.76449	0.404951	1	1.46195	4	58	93	425	0.228756	13.915	9.8434	6.32763	13.0663	9e+09	9e+09	9e+09	0	0	0	0	
2	3	11.9011	2.50371	3.89522	4.69249	1	59	0.509551	0.806706	0.420893	1	0.772585	3	88	366	87	0.206632	5.21937	3.19604	14.018	5.93687	0.797031	-8.96345	0.1918	0	0	0	0	
1	3	10.4533	2.63677	3.03897	5.00132	2	187	0.472129	0.657639	0.406595	3	1.23441	3	112	249	175	0.230664	19.2497	18.1998	18.2781	8.76165	130712	-20.0845	900	0	0	0	0	
2	4	14.1794	2.37118	2.7447	5.83678	2	22	0.502517	0.752744	0.438592	3	0.867562	5	73	306	495	0.241869	23.4223	12.6386	18.9864	10.7676	9e+09	9e+09	9e+09	0	0	0	0	
1	2	12.0955	2.59639	3.38311	4.53298	2	174	0.46626	0.693392	0.42875	2	1.28839	2	68	125	368	0.180416	31.1567	4.20339	21.0744	8.62463	9e+09	9e+09	9e+09	0	0	0	0	
1	3	15.0844	2.24544	3.54157	5.61971	2	51	0.49727	0.705798	0.439116	4	0.684636	5	107	352	305	0.234189	11.4414	11.6264	32.8816	3.76079	9e+09	9e+09	9e+09	0	0	0	0	
2	2	13.606	2.20561	3.27904	4.58387	2	21	0.496347	0.760658	0.412273	3	1.43118	2	67	224	500	0.246914	33.2424	2.59299	31.5441	20.5613	9e+09	9e+09	9e+09	0	0	0	0	
2	2	13.1231	2.24666	3.08555	5.17387	2	150	0.511156	0.714505	0.430262	2	0.743821	2	126	291	216	0.177737	7.08397	11.1461	13.138	11.0713	9e+09	9e+09	9e+09	0	0	0	0	
